id,text,sentiment
1,"The app crashes constantly, completely unusable",negative
2,Just checked the weather forecast for tomorrow,neutral
3,Very frustrated with the constant delays,negative
4,"I love this product, absolutely amazing experience!",positive
5,"So angry about the hidden fees, total scam",negative
6,The team is working on the new feature,neutral
7,"The new update is fantastic, so much better now",positive
8,"Excellent customer support, resolved my issue immediately",positive
9,The conference starts next Monday in Paris,neutral
10,The report will be ready by end of day,neutral
11,"Just finished an incredible book, highly recommend",positive
12,The restaurant opens at noon on weekdays,neutral
13,"The new update is fantastic, so much better now",positive
14,"I love this product, absolutely amazing experience!",positive
15,"Worst flight I have ever taken, never again",negative
16,Very frustrated with the constant delays,negative
17,Cannot believe how bad this service has gotten,negative
18,The package arrived this afternoon,neutral
19,The conference starts next Monday in Paris,neutral
20,"Such a letdown, expected so much more",negative
21,"Worst flight I have ever taken, never again",negative
22,The new model was released yesterday,neutral
23,The package arrived this afternoon,neutral
24,This is the worst decision I have ever made,negative
25,Downloaded the latest version of the software,neutral
26,"The app crashes constantly, completely unusable",negative
27,"Just finished an incredible book, highly recommend",positive
28,"Great service today, very happy with the results",positive
29,The restaurant opens at noon on weekdays,neutral
30,Downloaded the latest version of the software,neutral
31,"Worst flight I have ever taken, never again",negative
32,Currently reading about machine learning,neutral
33,Outstanding performance today by the whole team,positive
34,My flight departs at 6am tomorrow morning,neutral
35,"Beautiful weather today, perfect for a walk",positive
36,The package arrived this afternoon,neutral
37,"Great service today, very happy with the results",positive
38,"So angry about the hidden fees, total scam",negative
39,"Terrible experience with customer service, very disappointed",negative
40,"Just had the most wonderful meal, highly recommend",positive
41,"Such a letdown, expected so much more",negative
42,The report will be ready by end of day,neutral
43,"Horrible quality, broke after just two days",negative
44,Disgusted by the lack of response from support,negative
45,"The app crashes constantly, completely unusable",negative
46,So grateful for all the support from my friends,positive
47,Currently reading about machine learning,neutral
48,Feeling motivated and ready to take on the world,positive
49,"Great service today, very happy with the results",positive
50,"Horrible quality, broke after just two days",negative
51,"Horrible quality, broke after just two days",negative
52,"Thrilled with my new purchase, exceeded expectations",positive
53,I am going to the store later today,neutral
54,This is the worst decision I have ever made,negative
55,Downloaded the latest version of the software,neutral
56,Feeling motivated and ready to take on the world,positive
57,"Thrilled with my new purchase, exceeded expectations",positive
58,The meeting is scheduled for 3pm,neutral
59,Loving the new features in this app,positive
60,"Horrible quality, broke after just two days",negative
61,Currently reading about machine learning,neutral
62,The new model was released yesterday,neutral
63,Outstanding performance today by the whole team,positive
64,"Worst flight I have ever taken, never again",negative
65,"Extremely disappointed, not what was advertised at all",negative
66,"The new update is fantastic, so much better now",positive
67,Currently reading about machine learning,neutral
68,The restaurant opens at noon on weekdays,neutral
69,"This update ruined everything, reverting immediately",negative
70,"The app crashes constantly, completely unusable",negative
71,"The app crashes constantly, completely unusable",negative
72,"Extremely disappointed, not what was advertised at all",negative
73,Outstanding performance today by the whole team,positive
74,"Terrible experience with customer service, very disappointed",negative
75,"Waited two hours and still no help, unacceptable",negative
76,Currently reading about machine learning,neutral
77,"Waited two hours and still no help, unacceptable",negative
78,"Horrible quality, broke after just two days",negative
79,Watched a documentary about space last night,neutral
80,This product is a complete waste of money,negative
81,"Horrible quality, broke after just two days",negative
82,"Excellent customer support, resolved my issue immediately",positive
83,The restaurant opens at noon on weekdays,neutral
84,Watched a documentary about space last night,neutral
85,"Worst flight I have ever taken, never again",negative
86,This is the worst decision I have ever made,negative
87,"I love this product, absolutely amazing experience!",positive
88,Disgusted by the lack of response from support,negative
89,"So angry about the hidden fees, total scam",negative
90,"Waited two hours and still no help, unacceptable",negative
91,The package arrived this afternoon,neutral
92,"Horrible quality, broke after just two days",negative
93,"Such a letdown, expected so much more",negative
